id_albuma,descriptive_word
111,protest
111,angry
111,alcohol
111,warm
111,sarcastic
112,urban
112,melancholic
112,atmospheric
112,anxious
112,nocturnal
112,dark
112,introspective
112,male vocals
112,cold
113,manic
113,playful
113,anxious
113,female vocals
113,complex
113,surreal
113,quirky
113,progressive
113,eclectic
114,energetic
114,sexual
114,heavy
114,male vocals
114,raw
114,hedonistic
114,boastful
114,passionate
114,rebellious
115,atmospheric
115,mellow
115,hypnotic
115,mysterious
115,instrumental
115,rhythmic
115,psychedelic
115,warm
115,sampling
116,anxious
116,avant-garde
116,improvisation
116,heavy
116,male vocals
116,noisy
116,uncommon time signatures
116,complex
117,passionate
117,melancholic
117,bittersweet
117,romantic
117,love
117,male vocals
117,introspective
117,poetic
117,sad
118,pastoral
118,bittersweet
118,warm
118,autumn
118,melodic
118,male vocals
118,sentimental
118,mellow
118,introspective
119,energetic
119,futuristic
119,sampling
119,party
119,playful
119,rhythmic
119,happy
119,repetitive
119,male vocals
120,energetic
120,male vocals
120,melodic
120,passionate
120,political
120,raw
120,conscious
121,political
121,protest
121,aggressive
121,rebellious
121,energetic
121,angry
121,male vocals
121,heavy
121,conscious
122,passionate
123,breakup
123,LGBT
123,male vocals
123,love
123,concept album
123,lush
123,sentimental
123,warm
123,longing
124,science fiction
124,epic
124,martial
124,dark
124,male vocals
124,futuristic
124,apocalyptic
124,ominous
124,female vocals
125,bittersweet
125,melancholic
125,warm
125,romantic
125,melodic
125,soft
125,poetic
125,lush
125,sentimental
126,energetic
126,raw
126,humorous
126,playful
126,noisy
126,male vocals
126,female vocals
126,chaotic
126,manic
127,crime
127,urban
127,drugs
127,boastful
127,sampling
127,male vocals
127,violence
127,vulgar
127,aggressive
128,energetic
128,male vocals
128,fantasy
128,science fiction
128,epic
128,anthemic
128,apocalyptic
128,heavy
128,war
129,technical
129,male vocals
129,progressive
129,heavy
129,complex
129,eclectic
129,energetic
129,epic
129,uncommon time signatures
130,aggressive
130,satanic
130,death
130,anti-religious
130,heavy
130,angry
130,manic
130,energetic
130,violence
131,psychedelic
131,improvisation
131,political
131,protest
131,dark
132,sexual
132,playful
132,male vocals
132,rebellious
132,energetic
132,raw
132,drugs
132,hedonistic
132,passionate
133,energetic
133,uplifting
133,passionate
133,melodic
133,male vocals
133,anthemic
133,rebellious
133,triumphant
133,bittersweet
134,aggressive
134,energetic
134,male vocals
134,rebellious
134,heavy
134,rhythmic
134,raw
134,dense
135,male vocals
135,heavy
135,philosophical
135,progressive
135,introspective
135,pessimistic
135,ominous
135,eclectic
135,energetic
136,melodic
136,energetic
136,male vocals
136,summer
136,bittersweet
136,passionate
136,lonely
136,playful
136,introspective
137,sexual
137,rebellious
137,male vocals
137,raw
137,hedonistic
137,energetic
137,bittersweet
137,melodic
137,passionate
138,melancholic
138,lonely
138,anxious
138,introspective
138,melodic
138,bittersweet
138,male vocals
138,existential
138,alienation
139,satirical
139,complex
139,male vocals
139,concept album
139,epic
139,suite
139,progressive
139,sarcastic
139,technical
140,improvisation
140,warm
140,pastoral
140,male vocals
140,energetic
141,desert
141,energetic
141,concept album
141,male vocals
141,drugs
141,heavy
141,summer
141,psychedelic
141,rhythmic
142,pagan
142,psychedelic
142,manic
142,ritualistic
142,forest
142,folklore
142,dark
142,progressive
142,occult
143,mechanical
143,futuristic
143,science fiction
143,repetitive
143,male vocals
143,hypnotic
143,melodic
143,minimalistic
143,atmospheric
144,political
144,satirical
144,sarcastic
144,energetic
144,humorous
144,rebellious
144,raw
144,male vocals
144,manic
145,instrumental
145,improvisation
145,acoustic
145,passionate
145,spiritual
145,dense
145,rhythmic
145,complex
145,technical
146,crime
146,humorous
146,rebellious
146,sarcastic
146,acoustic
146,male vocals
146,sombre
146,bittersweet
146,energetic
147,rebellious
147,male vocals
147,energetic
147,raw
147,melodic
147,bittersweet
147,melancholic
147,playful
147,alcohol
148,introspective
148,lonely
148,lush
148,LGBT
148,warm
148,male vocals
148,summer
148,love
148,longing
149,rhythmic
149,energetic
149,protest
149,repetitive
149,passionate
149,rebellious
149,conscious
149,male vocals
149,tropical
150,poetic
150,dark
150,avant-garde
150,surreal
150,atmospheric
150,urban
150,eclectic
150,male vocals
150,passionate
151,psychedelic
152,improvisation
152,instrumental
152,energetic
152,passionate
152,acoustic
152,uplifting
152,warm
152,playful
152,spiritual
153,hypnotic
153,psychedelic
153,atmospheric
153,surreal
153,instrumental
153,repetitive
153,suspenseful
153,rhythmic
153,avant-garde
154,atmospheric
154,melancholic
154,sombre
154,introspective
154,lush
154,mellow
154,male vocals
154,mysterious
154,soft
155,political
155,conscious
155,bittersweet
155,urban
155,sampling
155,mellow
155,male vocals
155,rhythmic
155,death
156,protest
156,spiritual
156,passionate
156,energetic
156,instrumental
156,improvisation
157,ethereal
157,atmospheric
157,mysterious
157,cryptic
157,female vocals
157,lush
157,melodic
157,nocturnal
157,surreal
158,peaceful
158,atmospheric
158,mellow
158,soothing
158,lonely
158,instrumental
158,melancholic
158,meditative
158,soft
159,acoustic
159,melancholic
159,dark
159,male vocals
159,introspective
159,depressive
159,lonely
159,pessimistic
159,melodic
160,instrumental
160,energetic
160,psychedelic
160,improvisation
160,technical
160,dark
160,melancholic
160,melodic
160,avant-garde
161,drugs
161,heavy
161,depressive
161,pessimistic
161,angry
161,dark
161,male vocals
161,self-hatred
161,sombre
162,uncommon time signatures
162,complex
162,rhythmic
162,technical
162,anxious
162,progressive
162,male vocals
162,energetic
162,abstract
163,hypnotic
163,passionate
163,drugs
163,male vocals
163,improvisation
163,warm
163,psychedelic
163,summer
163,rhythmic
164,death
164,nature
164,atmospheric
164,spiritual
164,avant-garde
164,concept album
164,ritualistic
164,epic
164,lonely
165,melancholic
165,acoustic
165,male vocals
165,pastoral
165,poetic
165,love
165,sad
165,longing
165,romantic
166,philosophical
166,existential
166,lonely
166,cold
166,anxious
166,melancholic
166,sarcastic
166,space
166,male vocals
167,angry
167,philosophical
167,misanthropic
167,satirical
167,aggressive
167,male vocals
167,nihilistic
167,dark
167,sarcastic
168,sombre
168,dark
168,atmospheric
168,male vocals
168,progressive
168,ominous
168,epic
168,heavy
168,cold
169,epic
169,fantasy
169,melodic
169,male vocals
169,progressive
169,energetic
169,concept album
169,passionate
169,philosophical
170,anxious
170,noisy
170,dark
170,male vocals
170,dissonant
170,manic
170,heavy
170,nihilistic
170,ominous
171,political
171,anxious
171,rhythmic
171,energetic
171,sarcastic
171,rebellious
171,male vocals
171,conscious
171,protest
172,futuristic
172,mechanical
172,repetitive
172,cold
172,male vocals
172,minimalistic
172,hypnotic
172,urban
172,atmospheric
173,aggressive
173,technical
173,philosophical
173,complex
173,existential
173,male vocals
173,death
173,heavy
173,energetic
174,passionate
174,triumphant
174,energetic
174,melodic
174,male vocals
174,bittersweet
174,poetic
174,sentimental
174,anthemic
175,psychedelic
175,passionate
175,apocalyptic
175,hypnotic
175,rhythmic
175,political
175,drugs
175,male vocals
175,philosophical
176,energetic
176,male vocals
176,minimalistic
176,raw
176,sarcastic
176,rebellious
176,cryptic
176,abstract
176,playful
177,energetic
177,melodic
177,male vocals
177,heavy
177,anthemic
177,passionate
177,epic
177,history
177,war
178,mellow
178,acoustic
178,poetic
178,lush
178,introspective
178,lonely
178,melodic
178,male vocals
178,bittersweet
179,rhythmic
179,instrumental
179,playful
179,energetic
179,happy
179,improvisation
179,uplifting
179,psychedelic
179,warm
180,fantasy
180,epic
180,uncommon time signatures
180,philosophical
180,complex
180,male vocals
180,progressive
180,playful
180,melodic
181,lush
181,orchestral
181,introspective
181,conscious
181,female vocals
181,eclectic
181,uplifting
181,warm
181,poetic
182,improvisation
182,instrumental
182,soothing
182,melodic
182,mellow
182,passionate
182,acoustic
182,meditative
182,peaceful
183,heavy
183,raw
183,male vocals
184,warm
184,summer
184,rhythmic
184,tropical
184,uplifting
184,melodic
184,rebellious
184,mellow
184,conscious
185,dark
185,love
185,passionate
185,atmospheric
185,poetic
185,anxious
185,ominous
185,death
185,male vocals
186,mellow
186,romantic
186,soothing
186,instrumental
186,improvisation
186,nocturnal
186,technical
186,calm
186,passionate
187,instrumental
187,passionate
187,improvisation
187,avant-garde
187,dissonant
187,energetic
187,complex
187,playful
187,technical
188,forest
188,atmospheric
188,melancholic
188,instrumental
188,tribal
188,melodic
188,warm
188,ethereal
188,bittersweet
189,soft
189,soothing
189,warm
189,acoustic
189,sampling
189,female vocals
189,sparse
189,melancholic
189,bittersweet
190,raw
190,rebellious
190,male vocals
190,hedonistic
190,passionate
190,warm
190,energetic
190,melodic
190,eclectic
191,melodic
191,soothing
191,warm
191,male vocals
191,mellow
191,soft
191,melancholic
191,love
191,autumn
192,noisy
192,atmospheric
192,heavy
192,epic
192,hypnotic
192,dense
192,repetitive
192,passionate
192,male vocals
193,sexual
193,LGBT
193,drugs
193,urban
193,male vocals
193,humorous
193,melodic
193,bittersweet
193,hedonistic
194,concept album
194,melodic
194,dark
194,complex
194,love
194,heavy
194,progressive
194,passionate
194,death
195,melancholic
195,introspective
195,poetic
195,passionate
195,lonely
195,sad
195,melodic
195,longing
195,mellow
196,warm
196,improvisation
196,psychedelic
196,pastoral
196,male vocals
196,happy
196,melodic
196,playful
196,polyphonic
197,chaotic
197,instrumental
197,dense
197,spiritual
197,improvisation
197,avant-garde
197,passionate
197,complex
197,manic
198,passionate
198,male vocals
198,love
198,longing
198,romantic
198,melodic
198,raw
198,bittersweet
198,energetic
199,energetic
199,sampling
199,humorous
199,urban
199,playful
199,sexual
199,male vocals
199,boastful
199,crime
200,playful
200,humorous
200,complex
200,male vocals
200,technical
200,progressive
200,eclectic
201,male vocals
201,energetic
201,eclectic
201,passionate
201,rhythmic
201,longing
201,spring
201,melodic
202,playful
202,surreal
202,quirky
202,male vocals
202,abstract
202,manic
202,sarcastic
202,energetic
202,humorous
203,melancholic
203,instrumental
203,passionate
203,atmospheric
203,mysterious
203,spiritual
203,minimalistic
203,acoustic
203,sparse
204,melancholic
204,death
204,ethereal
204,bittersweet
204,existential
204,mellow
204,lush
