id_artist,artist_name
922,KCE Japan Sound Team
923,Rudimentary Peni
924,Trouble
925,The Blue Effect
926,Killing Joke
927,Young Marble Giants
928,The Soft Boys
929,Moor Mother
930,Hugh Mundell
931,The Specials
932,The Sundays
933,The KLF
934,Ensemble intercontemporain
935,Solitude Aeturnus
936,Genesis Owusu
937,The Moody Blues
938,Yabby You
939,Mtume Umoja Ensemble
940,Oranssi Pazuzu
941,Grandaddy
942,13th Floor Elevators
943,The Supremes
944,Wicked Lady
945,Madredeus
946,Sidney Gish
947,Mike Bloomfield
948,Dinosaur Jr
949,Joe Jackson
950,mewithoutYou
951,Gal Costa
952,Leprous
953,Todd Edwards
954,Nazareth
955,Africa Express
956,London Symphony Orchestra
957,DJ Sabrina the Teenage DJ
958,The Mighty Diamonds
959,Japan
960,Syd Barrett
961,PRMLSCRM
962,Teenage Fanclub
963,Antônio Carlos Jobim
964,Riot
965,Jeff Mangum
966,Captain Beefheart &amp; His Magic Band
967,Insect Warfare
968,Madonna
969,Therion
970,Patricio Rey y sus Redonditos de Ricota
971,Carlos Paredes
972,Aphrodite&#39;s Child
973,The Devin Townsend Project
974,Larry Young
975,SpongeBob SquarePants
976,Shakti With John McLaughlin
977,Grand Funk Railroad
978,They Might Be Giants
979,William Basinski
980,Big Mama Thornton
981,Mayhem
982,Los Planetas
983,Al Stewart
984,Dystopia
985,Edan
986,Annihilator
987,Klaus Mitffoch
988,Nucleus
989,SBB
990,Fushitsusha
991,Skip James
992,The Go! Team
993,Nocturnus
994,SPK
995,Carol of Harvest
996,AMM
997,Down
998,Catch Twenty-Two
999,Cockney Rebel
1000,J-Live
1001,Cannonball Adderley
1002,Quarteto Nôvo
1003,The Mountain Goats
1004,The Damned
1005,Amorphis
1006,KRS-One
1007,Groundhogs
1008,Mick Gordon
1009,Warlord
1010,Waylon Jennings
1011,The Jesus and Mary Chain
1012,Lisa Germano
1013,Lightning Bolt
1014,Colin Stetson
1015,Natalia Lafourcade
1016,Burning Spear
1017,Gaelle
1018,Oingo Boingo
1019,Booker Little
1020,Peste Noire
1021,Nektar
1022,Justin Hurwitz
1023,The Meters
1024,Loreena McKennitt
1025,Joel
1026,Kristofer Maddigan
1027,Deathspell Omega
1028,Arab Strap
1029,Sibylle Baier
1030,Janet Jackson
1031,Coleman Hawkins
1032,Bert Jansch
1033,McCoy Tyner
1034,Michael Hoenig
1035,Nils Frahm
1036,Montrose
1037,Pezet
1038,Mogwai
1039,Natural Snow Buildings
1040,Billy Harper
1041,Solaris
1042,Ashbury
1043,Freddie Gibbs
1044,The Sweet
1045,ኃይሉ መርጊያ 
1046,Ed Harrison
1047,Alain Bashung
1048,Furia
1049,High Rise
1050,Art Blakey&#39;s Jazz Messengers
1051,The Magnetic Fields
1052,Louis Armstrong and His All-Stars
1053,Moonspell
1054,Smog
1055,Iced Earth
1056,Colin Newman
1057,Alvvays
1058,Chico Buarque de Hollanda
1059,Monks
1060,Bacamarte
1061,Masterplan
1062,Bunny Wailer
1063,The D.O.C.
1064,Jag Panzer
1065,Tomasz Stanko Septet
1066,The Olivia Tremor Control
1067,The Black Crowes
1068,Dorival Caymmi
1069,Andy Irvine
1070,Mahalia Jackson
1071,Mercury Rev
1072,Kris Kristofferson
1073,The Don Ellis Orchestra
1074,Return to Forever featuring Chick Corea
1075,Wings
1076,Elis Regina
1077,Atomic Rooster
1078,Spring
1079,Terry Riley
1080,Os Paralamas do Sucesso
1081,Destroyer
1082,Amon Tobin
1083,Almendra
1084,Hatfield and the North
1085,Battiato
1086,АукцЫон
1087,Taj Mahal
1088,SWR Sinfonieorchester
1089,Mountain
1090,Lech Janerka
1091,Carmine Coppola
1092,Septicflesh
1093,森田童子 
1094,Fela
1095,Walrus
1096,Jeff Beck
1097,Johnny Burnette &amp; The Rock &#39;n Roll Trio
1098,Neal Morse
1099,寺田創一 
1100,Mac Miller
1101,M.I.A.
1102,Carcass
1103,Ben Folds Five
1104,Linton Kwesi Johnson
1105,Matthew Halsall
1106,CMX
1107,Art Blakey and the Jazz Messengers
1108,MC5
1109,pageninetynine
1110,Ayreon
1111,Univers Zéro
1112,Terry Allen
1113,Ciśnienie
1114,Michael McCann
1115,Gavin Bryars
1116,T-Bone Walker
1117,The Pop Group
1118,Bill Fay
1119,Mica Levi
1120,Milton
1121,Nara Leão
1122,공중도덕
1123,Manfred Schoof
1124,Origami Angel
1125,Ark
1126,Stan Getz
1127,Bud Powell
1128,One Be Lo
1129,Lee Hazlewood
1130,Embryo
1131,Lalo Schifrin
1132,Kenny Drew
1133,Archie Shepp
1134,Ecco2K
1135,Broadcast
1136,The Stranglers
1137,Danzig
1138,Gilberto Gil
1139,Tomasz Stańko Quintet
1140,Zbigniew Seifert
1141,GAS
1142,Spooky Tooth
1143,Hammers of Misfortune
1144,Skycamefalling
1145,The Oscar Peterson Trio
1146,Willis Alan Ramsey
1147,Paul Kelly and the Coloured Girls
1148,Squid
1149,Supergrass
1150,Quella Vecchia Locanda
1151,Donald Byrd Band &amp; Voices
1152,Death Cab for Cutie
1153,Ash Ra Tempel
1154,Yo La Tengo
1155,Force of Nature
1156,Hoedh
1157,Maria del Mar Bonet
1158,Stanley Clarke
1159,Killer Mike
1160,Women
1161,The Prodigy
1162,Buddy Holly
1163,Sadus
1164,KOTO
1165,Lianne La Havas
1166,Blood Incantation
1167,Christian Vander
1168,Claudio Lolli
1169,The Shins
1170,Adrianne Lenker
1171,tricot
1172,Nilsson
1173,Chris Bell
1174,Sui Generis
1175,Virus
1176,John Carpenter
1177,Black Flag
1178,Estas Tonne
1179,Boldy James
1180,Dün
1181,Rotting Christ
1182,Richard Hawley
1183,The Tea Party
1184,Satin Whale
1185,Los Fabulosos Cadillacs
1186,Roy Haynes Quartet
1187,Paul McCartney
1188,Augustus Pablo
1189,Howlin&#39; Wolf
1190,Titãs
1191,Uncle Tupelo
1192,Ibrahim Ferrer
1193,The Impressions
1194,Solstice
1195,t e l e p a t h テレパシー能力者
1196,The Killers
1197,The Horace Silver Quintet
1198,Robert Ashley
1199,Strawbs
1200,Mary Margaret O&#39;Hara
1201,Sabbat
1202,Bruce Cockburn
1203,Glenn Branca
1204,Threshold
1205,Novembre
1206,鈴木慶一 
1207,Behemoth
1208,Okkervil River
1209,Maxwell
1210,Pantera
1211,Four Tops
1212,Vader
1213,Westside Gunn
1214,Osanna
1215,Bill Conti
1216,Rancid
1217,Sigh
1218,Kool G Rap &amp; DJ Polo
1219,灰野敬二 
1220,Pekka Pohjola
1221,Sonny Rollins
1222,Melt-Banana
1223,Failure
1224,Donna Summer
1225,Lily Chou-Chou
1226,Heavenly
1227,Ben Webster
1228,Ben Folds
1229,Fred Wesley
1230,The Ruins of Beverast
1231,Junior Delahaye
1232,언니네이발관 
1233,Art Blakey Jazz Messengers
1234,Truth and Janey
1235,Cheer-Accident
1236,Meshuggah
1237,The Church
1238,Fates Warning
1239,Sugar
1240,Ini Kamoze
1241,The Keith Tippett Group
1242,Cristobal Tapia de Veer
1243,Lupe Fiasco
1244,Monster Magnet
1245,Woven Hand
1246,Joe Cocker
1247,Evoken
1248,Sortilège
1249,Wintersun
1250,Hum
1251,Master&#39;s Hammer
1252,菅野よう子 
1253,Hoodoo Gurus
1254,Sanctuary
1255,Helen Merrill
1256,M.I.A. (Músicos Independientes Asociados)
1257,２８１４
1258,La Maldita Vecindad y los Hijos del Quinto Patio
1259,Magrudergrind
1260,Spiritualized
1261,The Decemberists
1262,Swell Maps
1263,The Alan Parsons Project
1264,Doopees
1265,National Health
1266,Locanda delle Fate
1267,Robbie Băsho
1268,Champion Jack Dupree
1269,Kleenex Girl Wonder
1270,Spinetta Jade
1271,BK
1272,Pete La Roca
1273,Horace Tapscott Quintet
1274,Darren Korb
1275,Albert Collins
1276,New York Dolls
1277,Christoph de Babalon
1278,Jens Lekman
1279,Bright Eyes
1280,Echo and The Bunnymen
1281,Buzzcocks
1282,Pinback
1283,Goblin
1284,Wayne Jarrett
1285,Richard Hell &amp; The Voidoids
1286,Ian McDonald
1287,Spock&#39;s Beard
1288,Jan Dukes de Grey
1289,Tonton Macoute
1290,The Incredible String Band
1291,Brötzmann / Van Hove / Bennink
1292,The Cracow Klezmer Band
1293,Metro
1294,Puressence
1295,Lunatic
1296,Einstürzende Neubauten
1297,M Efekt
1298,Dolly Parton
1299,Beat Konducta
1300,Vinterland
1301,The Paul Butterfield Blues Band
1302,Los Hermanos
1303,Mark Lanegan
1304,Funebrarum
1305,The Protomen
1306,Steve Earle
1307,D-Clone
1308,God
1309,Ryuichi Sakamoto
1310,Falconer
1311,Masada
1312,The Gerogerigegege
1313,The Dukes of Stratosphear
1314,David S. Ware Quartet
1315,АукцЫон 
1316,Dr. Feelgood
1317,Lucio Battisti
1318,John Frusciante
