id_albuma,genre
326,Experimental Hip Hop
326,Abstract Hip Hop
327,Singer/Songwriter
327,Indie Folk
328,Progressive Rock
328,Hard Rock
329,Noise Rock
329,Drone Metal
330,Hard Rock
331,Video Game Music
331,Sequencer &amp; Tracker
332,Industrial Hip Hop
332,Abstract Hip Hop
332,Experimental Hip Hop
333,Ambient
333,Electronic
334,Soul
335,Film Score
335,Cinematic Classical
336,Thrash Metal
337,Neo-Soul
337,Contemporary R&amp;B
337,East Coast Hip Hop
338,Latin Rock
339,Country Rock
339,Singer/Songwriter
340,Folk Rock
340,Singer/Songwriter
341,Southern Soul
342,Heavy Metal
342,Hard Rock
343,Symphony
343,Romanticism
344,Memphis Rap
344,Southern Hip Hop
345,East Coast Hip Hop
345,Boom Bap
345,Gangsta Rap
346,Big Band
347,Stand-Up Comedy
348,Art Pop
348,Trip Hop
349,Grunge
349,Alternative Rock
350,Folk Rock
350,Singer/Songwriter
351,Experimental Rock
351,Art Rock
352,Samba-rock
352,MPB
352,Funk
353,Conscious Hip Hop
353,Boom Bap
353,Hardcore Hip Hop
354,New Wave
354,Synth Funk
355,Death Metal
356,Soul
357,Free Jazz
358,Progressive Rock
359,Proto-Punk
359,Rock
360,Alternative R&amp;B
360,Contemporary R&amp;B
361,Post-Hardcore
362,Death Metal
363,Alternative Metal
363,Alternative Rock
364,Post-Hardcore
364,Indie Rock
365,Rock &amp; Roll
365,Pop Rock
366,Progressive Rock
366,Hard Rock
367,Heavy Metal
368,Heavy Metal
369,Hard Rock
370,Experimental Rock
370,Neo-Psychedelia
370,Psychedelic Rock
371,Latin Rock
371,Jazz-Rock
371,Psychedelic Rock
372,Romanticism
372,Symphony
373,Spoken Word
373,Experimental
373,Art Pop
374,Jangle Pop
374,Indie Pop
375,Singer/Songwriter
375,Rhythm &amp; Blues
376,Singer/Songwriter
376,Contemporary Folk
376,Americana
377,Thrash Metal
378,Proto-Punk
378,Garage Rock
379,Krautrock
380,Swamp Rock
381,Punk Rock
382,Heavy Metal
382,Hard Rock
383,Hard Rock
383,Art Rock
384,Neoclassical Darkwave
385,MPB
385,Singer/Songwriter
386,Vocal Jazz
386,Soul
387,Heavy Metal
387,NWOBHM
388,New Wave
388,Post-Punk
388,Art Punk
389,Art Rock
390,Southern Hip Hop
390,Gangsta Rap
391,Contemporary Folk
391,Singer/Songwriter
392,Progressive Metal
392,Death Metal
393,Jazz Fusion
393,Jazz-Funk
394,Chamber Folk
395,IDM
395,Glitch Hop
395,Wonky
396,Heavy Metal
397,Singer/Songwriter
397,Indie Folk
397,Avant-Folk
398,New Wave
398,Pop Rock
399,Alternative Rock
399,Power Pop
400,Thrash Metal
401,Experimental Hip Hop
401,Hardcore Hip Hop
402,Midwest Emo
402,Math Rock
403,Progressive Rock
404,Glam Rock
404,Pop Rock
405,Caribbean Folk Music
405,Freak Folk
406,Roots Reggae
407,Art Pop
407,Progressive Pop
407,Electronic
408,Gothic Rock
408,Post-Punk
409,Heavy Metal
410,Jazz Fusion
410,Spiritual Jazz
411,Synthpop
411,New Wave
411,Post-Punk
412,Art Rock
412,Art Pop
413,Psychedelic Pop
413,Pop Rock
413,Neo-Psychedelia
414,East Coast Hip Hop
414,Hardcore Hip Hop
414,Boom Bap
415,Neo-Psychedelia
415,Space Rock Revival
415,Space Rock
415,Art Rock
416,East Coast Hip Hop
416,Hardcore Hip Hop
416,Abstract Hip Hop
417,Black Metal
418,Thrash Metal
419,Southern Rock
420,Film Score
420,Cinematic Classical
420,Orchestral
421,Baroque Music
422,Progressive Rock
422,Post-Hardcore
423,Avant-Folk
423,Chamber Folk
424,Tango nuevo
425,Singer/Songwriter
426,Thrash Metal
427,Stand-Up Comedy
428,Pop Rock
429,Choral
429,Classical Period
429,Christian Liturgical Music
430,Heavy Metal
430,Hard Rock
431,Singer/Songwriter
431,Piano Rock
432,Melodic Death Metal
432,Progressive Metal
433,Contemporary Folk
433,Singer/Songwriter
434,Post-Hardcore
434,Hardcore Punk
435,Funk
435,Soul
436,Heavy Metal
437,Modal Jazz
437,Post-Bop
438,Avant-Garde Jazz
439,Synthpop
439,New Wave
440,Abstract Hip Hop
440,East Coast Hip Hop
440,Experimental Hip Hop
440,Conscious Hip Hop
441,Minimalism
442,Film Soundtrack
442,Film Score
443,Jazz Rap
443,East Coast Hip Hop
443,Conscious Hip Hop
444,Hardcore Hip Hop
445,Singer/Songwriter
445,Pop Rock
446,Abstract Hip Hop
446,Boom Bap
447,Punk Rock
448,Spiritual Jazz
449,Folk Punk
449,Alternative Rock
449,Acoustic Rock
450,Hard Bop
450,Soul Jazz
451,Hard Bop
452,G-Funk
452,West Coast Hip Hop
452,Gangsta Rap
453,Death Metal
454,Progressive Metal
455,Progressive Rock
455,Hard Rock
456,Post-Hardcore
456,Noise Rock
457,Singer/Songwriter
458,Jam Band
458,Latin Rock
458,Psychedelic Rock
459,Folk Rock
459,Jam Band
460,Minimalism
461,Symphony
461,Romanticism
462,Atmospheric Sludge Metal
463,East Coast Hip Hop
463,Boom Bap
463,Conscious Hip Hop
464,Ambient
464,Video Game Music
464,Electronic
465,Progressive Rock
465,Hard Rock
466,Art Rock
466,Glam Rock
467,Video Game Music
467,Big Band
467,Jazz Fusion
468,Art Pop
468,Downtempo
468,Art Rock
468,Neo-Psychedelia
469,Video Game Music
469,Cinematic Classical
469,Modern Classical
470,Video Game Music
470,Cinematic Classical
471,Indie Rock
472,Indie Folk
472,Chamber Folk
473,Mod
473,Film Soundtrack
473,Rock
474,Heavy Metal
474,Hard Rock
475,Thrash Metal
476,Smooth Soul
477,Noise Rock
477,Post-Hardcore
478,Alternative R&amp;B
478,Ambient Pop
478,Art Pop
479,Singer/Songwriter
479,Folk Pop
480,Blues Rock
480,Boogie Rock
480,Jam Band
481,Free Jazz
481,Spiritual Jazz
482,Technical Death Metal
483,Spiritual Jazz
483,Avant-Garde Jazz
484,Singer/Songwriter
484,Acoustic Rock
485,Epic Doom Metal
485,Traditional Doom Metal
486,Political Hip Hop
486,East Coast Hip Hop
486,Conscious Hip Hop
487,Folk Rock
487,Roots Rock
488,Southern Soul
488,Deep Soul
489,Garage Rock
489,Proto-Punk
490,Atmospheric Sludge Metal
490,Post-Metal
491,Jazz-Rock
491,Art Rock
491,Experimental Rock
492,East Coast Hip Hop
492,Chipmunk Soul
493,Pop Rock
494,Pop Rock
495,Grunge
495,Acoustic Rock
495,Alternative Rock
496,Video Game Music
496,Sequencer &amp; Tracker
497,Heavy Metal
497,NWOBHM
498,Electronic
498,Film Soundtrack
498,Western Classical Music
499,Blues Rock
499,Jam Band
500,Video Game Music
500,Electronic
500,Post-Industrial
501,Stoner Rock
501,Stoner Metal
502,Video Game Music
502,Ambient
502,Post-Rock
503,Americana
504,Epic Doom Metal
504,Traditional Doom Metal
504,Doom Metal
505,Samba
505,MPB
506,Post-Bop
507,Nueva trova
508,Progressive Rock
508,Symphonic Prog
509,Art Pop
509,J-Rock
510,Television Music
511,Video Game Music
511,Electronic Dance Music
512,New Wave
512,Art Punk
513,Ambient
514,Vocal Jazz
515,Atmospheric Sludge Metal
516,Video Game Music
516,Big Beat
517,Chamber Pop
517,Twee Pop
517,Indie Pop
518,Power Metal
519,Modal Jazz
520,Psychedelic Pop
520,Neo-Psychedelia
521,Progressive Metal
522,Impressionism
523,Samba-choro
524,Video Game Music
524,Post-Rock
524,Folktronica
525,Thrash Metal
526,Chamber Folk
526,Singer/Songwriter
527,East Coast Hip Hop
527,Hardcore Hip Hop
528,Avant-Garde Jazz
529,Pop Rock
529,Pop
530,Modern Classical
530,Choral
531,Dream Pop
532,Hardcore Hip Hop
533,Noise Rock
533,Stoner Metal
534,Alternative Rock
534,Noise Rock
535,Art Rock
535,New Wave
536,Singer/Songwriter
536,Indie Folk
537,Black Metal
538,Hard Bop
539,Post-Punk
540,Romanticism
541,Disco
541,Pop
542,Symphonic Prog
543,Neo-Psychedelia
543,Folktronica
543,Psychedelic Pop
544,French Pop
544,Art Pop
545,Krautrock
545,Psychedelic Rock
546,Progressive Rock
547,Pop Rock
547,Art Pop
547,Art Rock
548,Pop Rap
548,Hip Hop
549,Chamber Folk
549,Singer/Songwriter
550,Video Game Music
550,House
551,Thrash Metal
552,Psychedelic Rock
552,Psychedelic Pop
553,Pop Rock
554,Hard Bop
555,Heavy Metal
556,Rock Opera
556,Film Soundtrack
556,Show Tunes
557,Acoustic Rock
557,Alternative Rock
558,Rock in Opposition
558,Free Improvisation
558,Avant-Prog
559,Post-Punk
560,Folk Metal
560,Black Metal
560,Pagan Black Metal
561,Chanson à texte
562,Death Metal
563,Thrash Metal
564,Television Music
564,Electronic Dance Music
565,Alternative Rock
566,Power Pop
566,Television Music
566,J-Rock
566,Alternative Rock
567,Post-Punk
567,Experimental Rock
568,Art Pop
568,Baroque Pop
568,Progressive Pop
569,Glam Rock
570,Southern Soul
571,Singer/Songwriter
571,Contemporary Folk
572,Contemporary Folk
572,Singer/Songwriter
573,Singer/Songwriter
573,Art Rock
574,Pop Rock
574,Singer/Songwriter
575,Experimental Rock
575,Experimental
576,Folk Rock
576,Rock
577,Progressive Rock
577,Symphonic Prog
578,Post-Punk
578,Art Punk
578,Experimental Rock
579,Piano Rock
579,Pop Rock
580,Gothic Country
580,Alt-Country
581,Hard Bop
582,Art Pop
582,Glitch Pop
583,Progressive Rock
584,East Coast Hip Hop
584,Boom Bap
584,Jazz Rap
584,Conscious Hip Hop
585,Hard Rock
586,Dream Pop
586,Indie Pop
587,Post-Punk
587,New Wave
588,Cinematic Classical
588,Video Game Music
588,Ambient
589,Folk Pop
589,Folk Rock
590,K-Pop
590,Dance-Pop
590,Future Bass
591,Television Music
591,Ragtime
591,Chamber Folk
592,Heavy Metal
592,Progressive Metal
593,Post-Punk
594,Death Metal
595,Southern Rock
595,Jam Band
595,Blues Rock
596,Avant-Garde Jazz
596,Spiritual Jazz
597,Hard Rock
597,Heavy Metal
598,Symphony
598,Romanticism
599,Singer/Songwriter
599,Piano Rock
600,British Folk Rock
600,Folk Rock
601,Death Metal
602,Free Jazz
603,Alternative Rock
604,Singer/Songwriter
604,Contemporary Folk
604,Slowcore
605,Latin Rock
606,Rock
607,Avant-Garde Jazz
608,Avant-Prog
609,Stoner Rock
609,Alternative Rock
610,Stoner Metal
610,Doom Metal
611,Progressive Rock
611,Art Rock
612,Krautrock
613,Afrobeat
614,Video Game Music
614,Orchestral
614,Cinematic Classical
615,Hardcore Hip Hop
615,Southern Hip Hop
616,Americana
616,Country
617,Southern Soul
618,Hard Bop
619,Slowcore
620,Singer/Songwriter
620,British Folk Rock
621,Progressive Pop
621,Art Pop
621,Jazz Pop
621,Jazz Fusion
622,Psychedelic Rock
622,Tropicália
623,Jangle Pop
623,Alternative Rock
624,Television Music
624,Ambient
624,Modern Classical
625,Modal Jazz
625,Post-Bop
626,Free Jazz
626,Avant-Garde Jazz
627,Art Rock
627,Neo-Psychedelia
627,Post-Punk
628,Punk Rock
629,Indie Rock
630,Alternative Rock
630,Singer/Songwriter
631,Heavy Metal
632,Rock
633,Progressive Rock
633,Progressive Metal
634,Dream Pop
634,Indie Pop
635,Pop Rock
636,Space Ambient
637,Punk Rock
638,Film Score
638,Neoclassical New Age
638,Cinematic Classical
639,P-Funk
639,Funk Rock
640,Synthpop
641,Avant-Garde Jazz
642,NWOBHM
642,Heavy Metal
643,Symphonic Prog
643,Progressive Rock
644,Dance-Pop
644,Disco
645,Industrial Rock
645,Alternative Rock
646,Experimental Rock
646,Satire
647,Flamenco Jazz
648,Film Score
648,Cinematic Classical
649,Horrorcore
649,Industrial Hip Hop
649,Experimental Hip Hop
650,Singer/Songwriter
650,Piano Blues
651,Folk Rock
651,Roots Rock
652,Neo-Psychedelia
652,Hypnagogic Pop
653,Hard Rock
654,Video Game Music
654,Orchestral
654,Cinematic Classical
655,Techno
656,Death Metal
657,Death Metal
658,Alternative Rock
658,Punk Blues
659,Indie Folk
659,Singer/Songwriter
660,Symphony
660,Romanticism
661,Experimental Rock
661,Art Rock
661,Art Pop
662,Progressive Rock
663,Contemporary R&amp;B
663,Art Pop
664,Post-Rock
665,Film Score
665,Cool Jazz
666,Art Rock
666,Progressive Rock
667,Modern Classical
667,Concerto
668,Melodic Black Metal
669,Heavy Metal
669,Hard Rock
670,Rock Opera
671,Progressive Rock
672,MPB
672,Singer/Songwriter
672,Folk Rock
673,Spoken Word
674,Singer/Songwriter
674,Jazz Pop
675,Pop Rap
675,West Coast Hip Hop
676,Hardcore Punk
677,IDM
677,Drill and Bass
678,Noise Pop
678,Experimental Rock
679,Industrial
680,Electric Blues
681,Jangle Pop
681,Indie Pop
682,Gangsta Rap
683,Technical Thrash Metal
684,Singer/Songwriter
684,Pop Rock
685,Hard Bop
686,Mathcore
686,Metalcore
687,Experimental
687,Singer/Songwriter
687,Post-Industrial
688,Brutal Death Metal
689,Krautrock
690,Canzone d&#39;autore
691,Video Game Music
691,Sequencer &amp; Tracker
692,Experimental Rock
692,Avant-Folk
692,Singer/Songwriter
693,Experimental Hip Hop
693,Instrumental Hip Hop
694,Synthpop
695,Stand-Up Comedy
695,Satire
696,Post-Rock
697,Alternative Rock
698,Southern Hip Hop
698,Conscious Hip Hop
699,Berlin School
700,Video Game Music
700,Instrumental Hip Hop
700,Big Beat
701,New Wave
701,Pop Rock
702,Death Metal
703,Doom Metal
703,Stoner Metal
704,Contemporary R&amp;B
704,Pop
705,Psychedelic Rock
706,Chamber Folk
706,Singer/Songwriter
706,Indie Folk
707,Jangle Pop
707,Alternative Rock
708,Progressive Electronic
709,Progressive Metal
710,Samba-choro
711,Indie Rock
711,Post-Punk Revival
712,Indie Rock
713,Folk Rock
714,Technical Thrash Metal
715,Progressive Folk
715,Singer/Songwriter
716,Progressive Rock
716,Jazz-Rock
717,Modern Classical
718,Thrash Metal
719,Southern Hip Hop
719,Trap
720,Progressive Rock
720,Hard Rock
721,Space Age Pop
721,Progressive Electronic
722,Synth Funk
723,Experimental
724,Pop Rock
725,Gothic Metal
726,Punk Rock
727,Chicago Soul
727,Soul
728,Post-Bop
729,Chamber Music
729,Modern Classical
730,Glam Rock
730,Art Pop
730,Pop Rock
731,Emoviolence
732,Southern Hip Hop
732,Conscious Hip Hop
733,Pop Rap
733,West Coast Hip Hop
734,Jangle Pop
734,Alternative Rock
735,Indie Rock
735,Lo-Fi / Slacker Rock
736,Post-Bop
737,Thrash Metal
738,Electric Blues
739,Blues Rock
740,Ambient
741,New Wave
741,Post-Punk
741,Art Punk
742,Thrash Metal
743,Hardcore Punk
744,East Coast Hip Hop
744,Gangsta Rap
744,Hardcore Hip Hop
745,Instrumental Hip Hop
746,Art Punk
747,Power Pop
748,Baroque Pop
748,Art Rock
748,Symphonic Prog
748,Progressive Pop
749,Doom Metal
750,Art Rock
750,Experimental Rock
751,Post-Punk
751,Gothic Rock
752,Thrash Metal
753,Classical Period
753,Choral
753,Christian Liturgical Music
754,Art Pop
754,Singer/Songwriter
754,Progressive Pop
755,Power Pop
756,New Wave
756,Pop Rock
756,Post-Punk
757,Post-Bop
757,Modal Jazz
758,Progressive Folk
759,Experimental Hip Hop
759,Glitch Hop
760,Power Metal
761,Grindcore
762,Chamber Folk
762,Neoclassical New Age
763,Mathcore
763,Metalcore
764,Post-Hardcore
764,Noise Rock
765,Film Score
765,Ambient
766,Video Game Music
766,Cinematic Classical
766,Modern Classical
767,Stand-Up Comedy
768,IDM
769,Latin Rock
770,Film Score
770,Modern Classical
771,Garage Rock Revival
771,Alternative Rock
772,Singer/Songwriter
773,East Coast Hip Hop
773,Conscious Hip Hop
774,Industrial Metal
774,Sludge Metal
775,Film Score
775,Modern Classical
776,Psychedelic Rock
776,Experimental Rock
776,Art Rock
777,Hard Rock
778,Andalusian Rock
778,Progressive Rock
779,Death Metal
780,East Coast Hip Hop
780,Boom Bap
781,New Wave
782,Progressive Rock
782,Pop Rock
783,Experimental
